Error: missing newline in C:\Users\InnaPush\Documents\VuGen\Scripts\wallnew\Text.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 6.	[MsgId: MMSG-10545]
Action.c(146): Found resource "https://pp.userapi.com/c604428/v604428891/32279/DmMQfsK9VSM.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Found resource "https://pp.userapi.com/c639122/v639122912/66f8c/Ao9t9Skt1Hc.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Found resource "https://pp.userapi.com/c638624/v638624949/35bde/oRcuonlMMvU.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Found resource "https://pp.userapi.com/c834100/v834100946/419fa/AVKjyje_HBY.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Found resource "https://vk.com/images/camera_50.png" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Error -27723: Step download timeout (120 seconds) has expired when downloading resource "https://pp.userapi.com/c841425/v841425912/4a7ce/7Is6goryUz0.jpg". Set the "Step Timeout caused by resources is a warning" Run-Time Setting to Yes/No to have this message as a warning/error, respectively  	[MsgId: MERR-27723]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 15.	[MsgId: MMSG-10545]
Action.c(146): Found resource "https://pp.userapi.com/c840230/v840230126/48c34/kw3q2nzJ2OE.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Found resource "https://pp.userapi.com/c840129/v840129001/4f117/leSiyPyfDLE.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Found resource "https://vk.com/images/camera_50.png" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Found resource "https://pp.userapi.com/c638717/v638717993/2a949/G2qmLk9Xpsk.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Found resource "https://pp.userapi.com/c626124/v626124856/278be/TgVLek3gTbE.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Error -27723: Step download timeout (120 seconds) has expired when downloading resource "https://pp.userapi.com/c837523/v837523690/41e61/qS8_lbQUNRI.jpg". Set the "Step Timeout caused by resources is a warning" Run-Time Setting to Yes/No to have this message as a warning/error, respectively  	[MsgId: MERR-27723]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 82.	[MsgId: MMSG-10545]
Action.c(204): web_url("al_profile.php") started  	[MsgId: MMSG-26355]
Action.c(204): web_url("al_profile.php") was successful, 16107 body bytes, 365 header bytes  	[MsgId: MMSG-26386]
Action.c(215): Notify: Transaction "02_page" ended with a "Pass" status (Duration: 0,1784).	[MsgId: MMSG-16873]
Action.c(217): Notify: Transaction "03_wall" started.	[MsgId: MMSG-16999]
Action.c(220): web_submit_data("al_wall.php") started  	[MsgId: MMSG-26355]
Action.c(220): web_submit_data("al_wall.php") was successful, 56 body bytes, 362 header bytes  	[MsgId: MMSG-26386]
Action.c(235): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(236): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(236): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(238): web_submit_data("al_wall.php_2") started  	[MsgId: MMSG-26355]
Action.c(238): Error -26366: "Text=Test" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 86.	[MsgId: MMSG-10545]
Action.c(146): Found resource "https://vk.com/images/blank.gif" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(146): Found resource "https://vk.com/images/emoji/D83DDCD6.png" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
