Error: missing newline in C:\Users\InnaPush\Documents\VuGen\Scripts\wallnew\Text.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 6.	[MsgId: MMSG-10545]
Action.c(57): Found resource "https://vk.com/js/al/ui_common.js?3489032241" in HTML "https://vk.com/"  	[MsgId: MMSG-26659]
Action.c(57): Found resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" in HTML "https://vk.com/"  	[MsgId: MMSG-26659]
Action.c(57): Registered web_reg_find successful for "Text=Войти" (count=4)  	[MsgId: MMSG-26364]
Action.c(57): web_url("vk.com") was successful, 674447 body bytes, 6831 header bytes, 270 chunking overhead bytes  	[MsgId: MMSG-26385]
Action.c(68): Notify: Transaction "01_login" started.	[MsgId: MMSG-16999]
Action.c(74): web_reg_save_param_regexp started  	[MsgId: MMSG-26355]
Action.c(74): Registering web_reg_save_param_regexp was successful  	[MsgId: MMSG-26390]
Action.c(83): web_submit_data("login.vk.com") started  	[MsgId: MMSG-26355]
Action.c(83): Error -27792: Failed to connect to server "login.vk.com:443": [10060] Connection timed out  	[MsgId: MERR-27792]
Action.c(83): Error -35049: No match found for the requested parameter "al_id". Check whether the requested regular expression exists in the response data  	[MsgId: MERR-35049]
End auto log messages stack.	[MsgId: MMSG-10544]


