Error: missing newline in C:\Users\InnaPush\Documents\VuGen\Scripts\wallnew\Text.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=1" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=443198b03d85a562"  	[MsgId: MMSG-26659]
Action.c(286): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Error -26366: "Text=Поиск" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=1" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=a9ffa653f843b3c8"  	[MsgId: MMSG-26659]
Action.c(286): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Error -26366: "Text=Поиск" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=1" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=10997f03d4b27928"  	[MsgId: MMSG-26659]
Action.c(286): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Error -26366: "Text=Поиск" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 4.	[MsgId: MMSG-10545]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=1" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=4a02bf4872658ce6"  	[MsgId: MMSG-26659]
Action.c(286): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Error -26366: "Text=Поиск" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=1" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=0856771814a4674e"  	[MsgId: MMSG-26659]
Action.c(286): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Error -26366: "Text=Поиск" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 6.	[MsgId: MMSG-10545]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=1" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=8462081d4c8074f6"  	[MsgId: MMSG-26659]
Action.c(286): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Error -26366: "Text=Поиск" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 7.	[MsgId: MMSG-10545]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=1" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=2ff8ec9b9a413244"  	[MsgId: MMSG-26659]
Action.c(286): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Error -26366: "Text=Поиск" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 8.	[MsgId: MMSG-10545]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=1" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(286): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=361b8fca8f39dd7e"  	[MsgId: MMSG-26659]
Action.c(286): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
