Error: missing newline in C:\Users\InnaPush\Documents\VuGen\Scripts\WebHttpHtml6\Test.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(254): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(254): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=d662f2dd086b020a"  	[MsgId: MMSG-26659]
Action.c(254): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(254): Resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(254): Registered web_reg_find successful for "Text=Test" (count=1)  	[MsgId: MMSG-26364]
Action.c(254): Error -26366: "Text=Поиск" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(254): Resource "https://vk.com/js/lib/px.js?ch=2" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(254): Found resource "https://vk.com/js/al/login.js?3551917100" in HTML "https://vk.com/login?act=mobile&hash=ed51e33273f62d17"  	[MsgId: MMSG-26659]
Action.c(254): Resource "https://vk.com/js/al/ui_common.js?3489032241" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(254): Resource "https://vk.com/js/cmodules/web/audioplayer.js?3876525056" is in the cache already and will not be downloaded again  	[MsgId: MMSG-26655]
Action.c(254): Registered web_reg_find successful for "Text=Test" (count=1)  	[MsgId: MMSG-26364]
Action.c(254): Error -26366: "Text=Поиск" not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(149): Found resource "https://pp.userapi.com/c836124/v836124737/2f08a/_Q1Huwo4OI8.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c633324/v633324190/322df/oCwydoUz00o.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c636622/v636622506/56fb7/PlS7X0CU_oI.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c638830/v638830866/3aeda/QPCT_0GNyRk.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c837133/v837133992/743dc/XyiEkjnagdI.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Error -27723: Step download timeout (120 seconds) has expired when downloading resource "https://pp.userapi.com/c837133/v837133992/743dc/XyiEkjnagdI.jpg". Set the "Step Timeout caused by resources is a warning" Run-Time Setting to Yes/No to have this message as a warning/error, respectively  	[MsgId: MERR-27723]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(149): Found resource "https://pp.userapi.com/c638227/v638227512/5f480/sacjaiubMwU.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c639526/v639526950/2d385/sd20x9abmb8.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c626124/v626124778/6453a/4rXvSN2HKWM.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c627722/v627722624/881b/WlNmsoHEWl4.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c636830/v636830955/5a185/8Dgf1M7gTxI.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Error -27723: Step download timeout (120 seconds) has expired when downloading resource "https://pp.userapi.com/c638227/v638227512/5f480/sacjaiubMwU.jpg". Set the "Step Timeout caused by resources is a warning" Run-Time Setting to Yes/No to have this message as a warning/error, respectively  	[MsgId: MERR-27723]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 3.	[MsgId: MMSG-10545]
Action.c(149): Found resource "https://pp.userapi.com/c625620/v625620167/2ac9a/YxCd7dllJaI.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c841528/v841528369/461dc/MrzHsO7qV6o.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Found resource "https://pp.userapi.com/c830509/v830509807/2b2a/2mftV4vE4e0.jpg" in HTML "https://vk.com/feed"  	[MsgId: MMSG-26659]
Action.c(149): Warning -27787: Server "pp.userapi.com" has shut down the connection prematurely  	[MsgId: MWAR-27787]
Action.c(149): Warning -27772: Server "pp.userapi.com" shut connection during attempt to negotiate SSL session  	[MsgId: MWAR-27772]
